Which AWS service or feature can be used to call AWS Services from different programming languages?,AWS Software Development Kit.,AWS Command Line Interface.,AWS CodeDeploy.,AWS Management Console.,,A
Which AWS Service can be used to register a new domain name?,Amazon Personalize.,Amazon Route 53.,AWS KMS.,AWS Config.,,B
App development companies move their business to AWS to reduce time-to-market and improve customer satisfaction what are the AWS automation tools that help them deploy their applications faster? (Choose TWO),AWS CloudFormation.,AWS Migration Hub.,AWS IAM.,AWS Elastic Beanstalk.,Amazon Macie.,A D
Which AWS service provides cost-optimization recommendations?,AWS Trusted Advisor.,AWS Pricing Calculator.,Amazon QuickSight.,AWS X-Ray.,,A
A company has hundreds of VPCs in multiple AWS Regions worldwide. What service does AWS offer to simplify the connection management among the VPCs?,VPC Peering.,AWS Transit Gateway.,Amazon Connect.,Security Groups.,,B
A developer needs to set up an SSL security certificate for a client's eCommerce website in order to use the HTTPS protocol. Which of the following AWS services can be used to deploy the required SSL server certificates? (Choose TWO),Amazon Route 53.,AWS ACM.,AWS Directory Service.,AWS Identity & Access Management.,AWS Data Pipeline.,A B
Which of the following AWS services scale automatically without your intervention? (Choose TWO),Amazon EC2.,Amazon S3.,AWS Lambda.,Amazon EMR.,Amazon EBS.,B C
A company is planning to migrate an application from Amazon EC2 to AWS Lambda to use a serverless architecture. Which of the following will be the responsibility of AWS after migration? (Choose TWO),Application management.,Capacity management.,Access control.,Operating system maintenance.,Data management.,B D
How do ELBs improve the reliability of your application?,By distributing traffic across multiple S3 buckets.,By replicating data to multiple availability zones.,By creating database Read Replicas.,By ensuring that only healthy targets receive traffic.,,D
A company needs to migrate their website from on-premises to AWS. Security is a major concern for them so they need to host their website on hardware that is NOT shared with other AWS customers. Which of the following EC2 instance options meets this requirement?,On-demand instances.,Spot instances.,Dedicated instances.,Reserved instances.,,C
A customer is planning to move billions of images and videos to be stored on Amazon S3. The customer has approximately 60 Petabytes of data to move. Which of the following AWS Services is the best choice to transfer the data to AWS?,Snowball.,S3 Transfer Acceleration.,Snowmobile.,Amazon VPC.,,C
A company plans to migrate a large amount of archived data to AWS. The archived data must be maintained for a period of 5 years and must be retrievable within 5 hours of a request. What is the most cost-effective AWS storage service to use?,Amazon S3 Glacier.,Amazon EFS.,Amazon S3 Standard.,Amazon EBS.,,A
Which AWS Service is used to manage user permissions?,Security Groups.,Amazon ECS.,AWS IAM.,AWS Support.,,C
Which support plan includes AWS Support Concierge Service?,Premium Support.,Business Support.,Enterprise Support.,Standard Support.,,C
A company needs to track resource changes using the API call history. Which AWS service can help the company achieve this goal?,AWS Config.,Amazon CloudWatch.,AWS CloudTrail.,AWS CloudFormation.,,C
What are the benefits of using an AWS-managed service? (Choose TWO),Provides complete control over the virtual infrastructure.,Allows customers to deliver new solutions faster.,Lowers operational complexity.,Eliminates the need to encrypt data.,Allows developers to control all patching related activities.,B C
Which of the following are use cases for Amazon S3? (Choose TWO),Hosting static websites.,Hosting websites that require sustained high CPU utilization.,Cost-effective database and log storage.,A media store for the CloudFront service.,Processing data streams at any scale.,A D
What is the AWS’ recommendation regarding access keys?,Delete all access keys and use passwords instead.,Only share them with trusted people.,Rotate them regularly.,Save them within your application code.,,C
What is the AWS IAM feature that provides an additional layer of security on top of user-name and password authentication?,Key Pair.,Access Keys.,SDK.,MFA.,,D
What is the benefit of using an API to access AWS Services?,It improves the performance of AWS resources.,It reduces the time needed to provision AWS resources.,It reduces the number of developers necessary.,It allows for programmatic management of AWS resources.,,D
A company is planning to migrate a database with high read/write activity to AWS. What is the best storage option to use?,AWS Storage Gateway.,Amazon S3.,Amazon EBS.,Amazon Glacier.,,C
How can AWS customers track and avoid over-spending on underutilized reserved instances?,Customers can add all AWS accounts to an AWS Organization enable Consolidated Billing and turn off Reserved Instance sharing.,Customers can use Amazon Neptune to track and analyze their usage patterns detect underutilized reserved instances and then sell them on the Amazon EC2 Reserved Instance Marketplace.,Customers can use the AWS Budgets service to track the reserved instances usage and set up alert notifications when their utilization drops below the threshold that they define.,Customers can use Amazon CloudTrail to automatically check for unused reservations and get recommendations to reduce their bill.,,C
What is the AWS service that provides five times the performance of a standard MySQL database?,Amazon Aurora.,Amazon Redshift.,Amazon DynamoDB.,Amazon Neptune.,,A
What does AWS Service Catalog provide?,It enables customers to quickly find descriptions and use cases for AWS services.,It enables customers to explore the different catalogs of AWS services.,It simplifies organizing and governing commonly deployed IT services.,It allows developers to deploy infrastructure on AWS using familiar programming languages.,,C
For managed services like Amazon DynamoDB which of the below is AWS responsible for? (Choose TWO),Protecting credentials.,Logging access activity.,Patching the database software.,Operating system maintenance.,Creating access policies.,C D
